epoch,container,mem_bytes,mem_perc,cpu_perc,restarts
1788765069,event_collector,59412316,11.07,9.86,0
1788765069,scoring_engine,49807360,9.28,6.19,0
1788765069,config_service,41691381,7.77,0.11,0
1788765069,siem_api,64026050,11.93,7.06,0
1788765131,event_collector,59076771,11.00,12.06,0
1788765131,scoring_engine,48318382,9.00,7.35,0
1788765131,config_service,41691381,7.77,0.12,0
1788765131,siem_api,65273856,12.16,12.53,0
1788765193,event_collector,59244544,11.03,11.43,0
1788765193,scoring_engine,49429872,9.21,6.72,0
1788765193,config_service,41691381,7.77,0.14,0
1788765193,siem_api,63847792,11.89,9.65,0
1788765256,event_collector,59496202,11.08,11.91,0
1788765256,scoring_engine,48926556,9.11,7.16,0
1788765256,config_service,41691381,7.77,0.11,0
1788765256,siem_api,63449333,11.82,7.07,0
1788765318,event_collector,59852718,11.15,10.40,0
1788765318,scoring_engine,48863641,9.10,6.63,0
1788765318,config_service,41691381,7.77,0.12,0
1788765318,siem_api,62883102,11.71,12.03,0
1788765381,event_collector,60209233,11.22,9.77,0
1788765381,scoring_engine,49020928,9.13,5.96,0
1788765381,config_service,41691381,7.77,0.12,0
1788765381,siem_api,63491276,11.83,5.31,0
1788765443,event_collector,59538145,11.09,10.61,0
1788765443,scoring_engine,49293557,9.18,6.95,0
1788765443,config_service,41691381,7.77,0.11,0
1788765443,siem_api,64539852,12.02,4.64,0
1788765505,event_collector,60083404,11.19,10.57,0
1788765505,scoring_engine,49199185,9.16,6.18,0
1788765505,config_service,41691381,7.77,0.10,0
1788765505,siem_api,64151879,11.95,5.79,0
1788765568,event_collector,60922265,11.35,10.10,0
1788765568,scoring_engine,48737812,9.08,6.14,0
1788765568,config_service,41691381,7.77,0.11,0
1788765568,siem_api,63680020,11.86,7.10,0
1788765630,event_collector,60282634,11.23,11.34,0
1788765630,scoring_engine,49618616,9.24,7.05,0
1788765630,config_service,41691381,7.77,0.12,0
1788765630,siem_api,65053655,12.12,6.18,0
1788765693,event_collector,60303605,11.23,11.53,0
1788765693,scoring_engine,49618616,9.24,7.86,0
1788765693,config_service,41691381,7.77,0.11,0
1788765693,siem_api,66228060,12.34,4.59,0
1788765755,event_collector,59475230,11.08,9.40,0
1788765755,scoring_engine,49157242,9.16,6.02,0
1788765755,config_service,41691381,7.77,0.10,0
1788765755,siem_api,65965916,12.29,9.62,0
1788765818,event_collector,59968061,11.17,10.67,0
1788765818,scoring_engine,49440358,9.21,6.88,0
1788765818,config_service,41691381,7.77,0.11,0
1788765818,siem_api,65368227,12.17,9.84,0
1788765880,event_collector,60125347,11.20,10.72,0
1788765880,scoring_engine,48601497,9.05,6.85,0
1788765880,config_service,41691381,7.77,0.12,0
1788765880,siem_api,64539852,12.02,9.58,0
1788765942,event_collector,60408463,11.25,9.61,0
1788765942,scoring_engine,48999956,9.13,6.23,0
1788765942,config_service,41691381,7.77,0.11,0
1788765942,siem_api,65368227,12.18,16.70,0
1788766005,event_collector,60125347,11.20,9.16,0
1788766005,scoring_engine,49335500,9.19,5.60,0
1788766005,config_service,41691381,7.77,0.11,0
1788766005,siem_api,65148026,12.13,16.96,0
1788766067,event_collector,59580088,11.10,9.62,0
1788766067,scoring_engine,49209671,9.17,5.80,0
1788766067,config_service,41691381,7.77,0.11,0
1788766067,siem_api,64225280,11.96,14.04,0
1788766130,event_collector,60167290,11.21,11.19,0
1788766130,scoring_engine,49723473,9.26,6.33,0
1788766130,config_service,41691381,7.77,0.10,0
1788766130,siem_api,64382566,11.99,7.89,0
1788766192,event_collector,59705917,11.12,11.28,0
1788766192,scoring_engine,49293557,9.18,7.01,0
1788766192,config_service,41691381,7.77,0.12,0
1788766192,siem_api,65504542,12.20,4.50,0
1788766254,event_collector,60764979,11.32,11.80,0
1788766254,scoring_engine,49503272,9.22,6.33,0
1788766254,config_service,41691381,7.77,0.12,0
1788766254,siem_api,64791511,12.07,3.65,0
1788766317,event_collector,60272148,11.23,11.19,0
1788766317,scoring_engine,48832184,9.10,7.26,0
1788766317,config_service,41691381,7.77,0.11,0
1788766317,siem_api,65693286,12.24,4.61,0
1788766379,event_collector,59789803,11.14,12.15,0
1788766379,scoring_engine,49597644,9.24,6.67,0
1788766379,config_service,41691381,7.77,0.11,0
1788766379,siem_api,66332917,12.36,5.58,0
1788766442,event_collector,59265515,11.04,10.56,0
1788766442,scoring_engine,49566187,9.23,7.41,0
1788766442,config_service,41691381,7.77,0.13,0
1788766442,siem_api,66731376,12.43,10.34,0
1788766504,event_collector,60534292,11.28,9.94,0
1788766504,scoring_engine,48758784,9.08,6.12,0
1788766504,config_service,41691381,7.77,0.13,0
1788766504,siem_api,67496837,12.57,8.33,0
1788766566,event_collector,59653488,11.11,9.02,0
1788766566,scoring_engine,50310676,9.37,5.79,0
1788766566,config_service,41691381,7.77,0.11,0
1788766566,siem_api,65515028,12.20,12.47,0
1788766629,event_collector,59663974,11.11,10.97,0
1788766629,scoring_engine,49073356,9.14,7.04,0
1788766629,config_service,41691381,7.77,0.13,0
1788766629,siem_api,66385346,12.36,15.41,0
1788766691,event_collector,60607692,11.29,11.93,0
1788766691,scoring_engine,50048532,9.32,8.22,0
1788766691,config_service,41691381,7.77,0.13,0
1788766691,siem_api,66018344,12.30,2.43,0
1788766754,event_collector,60335063,11.24,11.53,0
1788766754,scoring_engine,49304043,9.18,7.46,0
1788766754,config_service,41691381,7.77,0.12,0
1788766754,siem_api,66186117,12.33,5.05,0
1788766816,event_collector,60188262,11.21,9.84,0
1788766816,scoring_engine,49681530,9.25,6.04,0
1788766816,config_service,41691381,7.77,0.12,0
1788766816,siem_api,65651343,12.23,7.59,0
1788766879,event_collector,60345548,11.24,10.37,0
1788766879,scoring_engine,48884613,9.11,6.65,0
1788766879,config_service,41691381,7.77,0.11,0
1788766879,siem_api,66280488,12.35,4.59,0
